"Literal",Code
"ferwerderadeel",http://www.gemeentegeschiedenis.nl/amco/11284
"ferwerderadiel",http://www.gemeentegeschiedenis.nl/amco/11284
"fijnaart en heijningen",http://www.gemeentegeschiedenis.nl/amco/10206
"finsterwolde",http://www.gemeentegeschiedenis.nl/amco/10212
"fort bath",http://www.gemeentegeschiedenis.nl/amco/11114
"franeker",http://www.gemeentegeschiedenis.nl/amco/11226
"franekeradeel",http://www.gemeentegeschiedenis.nl/amco/10404
"gaasterland",http://www.gemeentegeschiedenis.nl/amco/10036
"gaasterlân-sleat",http://www.gemeentegeschiedenis.nl/amco/10036
"gameren",http://www.gemeentegeschiedenis.nl/amco/10037
"gapinge",http://www.gemeentegeschiedenis.nl/amco/10306
"garderen",http://www.gemeentegeschiedenis.nl/amco/10717
"gassel",http://www.gemeentegeschiedenis.nl/amco/10705
"gasselte",http://www.gemeentegeschiedenis.nl/amco/11099
"gastel",http://www.gemeentegeschiedenis.nl/amco/11448
"geertruidenberg",http://www.gemeentegeschiedenis.nl/amco/10101
"geervliet",http://www.gemeentegeschiedenis.nl/amco/10842
"geesteren",http://www.gemeentegeschiedenis.nl/amco/10756
"geffen",http://www.gemeentegeschiedenis.nl/amco/10370
"geldermalsen",http://www.gemeentegeschiedenis.nl/amco/10881
"geldrop",http://www.gemeentegeschiedenis.nl/amco/10529
"geldrop-mierlo",http://www.gemeentegeschiedenis.nl/amco/10529
"geleen",http://www.gemeentegeschiedenis.nl/amco/10048
"gemert",http://www.gemeentegeschiedenis.nl/amco/10277
"gemert-bakel",http://www.gemeentegeschiedenis.nl/amco/10277
"genderen",http://www.gemeentegeschiedenis.nl/amco/11276
"gendringen",http://www.gemeentegeschiedenis.nl/amco/10260
